0,1,2,3,4
$RQOBS,000006.9497,39163,2976,*42
$RQOBS,000006.9614,39286,2959,*4E
$RQOBS,000006.9731,39311,3118,*4B
$RQOBS,000006.9845,39386,3116,*47
$RQOBS,000006.9961,39341,2948,*49
$RQOBS,000007.0077,39252,2985,*4D
$RQOBS,000007.0193,39205,2895,*44
$RQOBS,000007.0309,39308,2863,*40
$RQOBS,000007.0425,39382,2864,*4C
$RQOBS,000007.0541,39343,2763,*4A
$RQOBS,000007.0657,39264,2841,*45
$RQOBS,000007.0773,39322,2972,*40
$RQOBS,000007.0889,39456,2949,*46
$RQOBS,000007.1005,39312,2933,*41
$RQOBS,000007.1121,39244,3142,*4B
$RQOBS,000007.1237,39108,3301,*41
$RQOBS,000007.1353,39156,3048,*47
$RQOBS,000007.1469,39279,2891,*4A
$RQOBS,000007.1585,39310,2916,*49
$RQOBS,000007.1701,39211,2983,*4B
$RQOBS,000007.1817,39238,2991,*4B
$RQOBS,000007.1933,39255,2975,*4D
$RQOBS,000007.2049,39295,2922,*44
$RQOBS,000007.2165,39328,3066,*44
$RQOBS,000007.2281,39305,3170,*44
$RQOBS,000007.2397,39268,3235,*4A
$RQOBS,000007.2513,39302,3117,*4E
$RQOBS,000007.2629,39205,2848,*40
$RQOBS,000007.2745,39315,2703,*4B
$RQOBS,000007.2861,39295,2718,*41
$RQOBS,000007.2977,39264,2868,*41
$RQOBS,000007.3093,39397,2991,*49
